,timestamp,id,x,y,z,vel_x,vel_z,vel_y
0,0.0,1,8.4568443,3.5880664,0.0,1.6717144,0.0,0.17629183
1,0.4,1,9.1255301,3.6585832,0.0,1.6628772,0.0,0.32672255
2,0.8,1,9.787146,3.8494445,0.0,1.6833339,0.0,0.37108399
3,1.2,1,10.472197,3.9554504,0.0,1.5985677,0.0,0.26479471
4,1.6,1,11.066,4.0612803,0.0,1.5745265,0.0,0.45639045
5,1.6,2,13.017548,5.7825914,0.0,-2.3244442,0.0,-0.076605938
6,2.0,1,11.731818,4.3205627,0.0,1.644127,0.0,0.54439117
7,2.0,2,12.08777,5.751949,0.0,-1.5890517,0.0,-0.065971055
8,2.4,1,12.381302,4.4967932,0.0,1.6237086,0.0,0.44057614
9,2.4,2,11.746306,5.7298146,0.0,-1.1407656,0.0,0.10537256
10,2.8,2,11.175158,5.8362471,0.0,-1.6400209,0.0,0.17923528
11,3.2,2,10.43429,5.8732028,0.0,-1.4061292,0.0,0.41904965
12,3.6,3,12.270674,6.6684218,0.0,-0.83589222,0.0,0.24553459
13,3.6,2,10.050254,6.1714868,0.0,-1.0787423,0.0,0.45518986
14,4.0,3,11.936317,6.7666356,0.0,-1.0282507,0.0,0.30748215
15,4.0,2,9.5712958,6.2373547,0.0,-1.207725,0.0,0.11543663
16,4.4,5,-1.8861126,4.3794954,0.0,1.5102614,0.0,0.19670494
17,4.4,4,-1.7114104,5.1259595,0.0,1.4810487,0.0,-0.049765503
18,4.4,3,11.448074,6.9144075,0.0,-1.3881064,0.0,0.039546695
19,4.4,2,9.0840742,6.2638361,0.0,-1.2731811,0.0,0.17084078
20,4.4,6,12.162877,5.7482446,0.0,-1.2204814,0.0,0.25520515
21,4.8,5,-1.282008,4.4581774,0.0,1.4893305,0.0,0.079483761
22,4.8,4,-1.118991,5.1060533,0.0,1.4705667,0.0,-0.049413292
23,4.8,3,10.825832,6.798273,0.0,-1.3174015,0.0,-0.16038692
24,4.8,2,8.5527509,6.3740273,0.0,-1.2327335,0.0,0.2715015
25,4.8,6,11.674685,5.8503267,0.0,-1.3273119,0.0,0.21290704
26,5.2,5,-0.69464813,4.4430824,0.0,1.5046428,0.0,-0.26913293
27,5.2,4,-0.53495708,5.0864289,0.0,1.5101356,0.0,-0.10801706
28,5.2,3,10.394153,6.786098,0.0,-1.2311392,0.0,0.077889026
29,5.2,2,8.0978874,6.4810373,0.0,-1.1467297,0.0,0.21789191
30,5.2,6,11.101028,5.9185702,0.0,-1.4500126,0.0,0.073139953
