,timestamp,id,x,y
5,1.6,2.0,20.4637457,9.0531124
7,2.0,2.0,19.5339677,9.02247
9,2.4,2.0,19.1925037,9.0003356
10,2.8,2.0,18.6213557,9.1067681
11,3.2,2.0,17.8804877,9.1437238
12,3.6,3.0,19.7168717,9.9389428
13,3.6,2.0,17.4964517,9.4420078
14,4.0,3.0,19.3825147,10.0371566
15,4.0,2.0,17.0174935,9.5078757
16,4.4,5.0,5.5600851,7.6500164
17,4.4,4.0,5.7347873,8.3964805
18,4.4,3.0,18.8942717,10.1849285
19,4.4,2.0,16.5302719,9.5343571
20,4.4,6.0,19.6090747,9.0187656
21,4.8,5.0,6.1641897,7.728698400000001
22,4.8,4.0,6.3272067,8.3765743
23,4.8,3.0,18.2720297,10.068794
24,4.8,2.0,15.998948599999999,9.6445483
25,4.8,6.0,19.1208827,9.1208477
26,5.2,5.0,6.75154957,7.7136034
27,5.2,4.0,6.91124062,8.3569499
28,5.2,3.0,17.8403507,10.056619
29,5.2,2.0,15.5440851,9.7515583
30,5.2,6.0,18.5472257,9.1890912
31,5.6,5.0,7.367903942,7.513392
32,5.6,4.0,7.53531524,8.2901607
33,5.6,3.0,17.2871186,10.1311052
34,5.6,2.0,15.0815649,9.8188618
35,5.6,6.0,17.9608727,9.1793596
36,6.0,5.0,8.04154116,7.497604000000001
37,6.0,4.0,8.20477916,8.2680429
38,6.0,3.0,16.8026712,10.1216916
39,6.0,2.0,14.6132886,9.887003
40,6.0,6.0,17.4443751,9.1654778
41,6.4,5.0,8.6500824,7.4379457
42,6.4,4.0,8.8096101,8.2029478
43,6.4,3.0,16.3915768,10.0668586
44,6.4,2.0,14.180370499999999,9.9119818
45,6.4,6.0,16.885212,9.273854
46,6.8,5.0,9.2496761,7.3791645
47,6.8,4.0,9.4055845,8.138806
48,6.8,3.0,15.8570833,10.1403906
49,6.8,2.0,13.7888176,9.9764063
50,6.8,6.0,16.3547355,9.3009083
51,7.2,5.0,9.8928407,7.3648188999999995
52,7.2,4.0,10.0448862,8.1184055
53,7.2,3.0,15.394828,10.1282556
54,7.2,2.0,13.4376655,10.0388806
55,7.2,6.0,15.856041600000001,9.2855292
56,7.6,5.0,10.5708887,7.3053642
57,7.6,4.0,10.6709402,8.0543421
58,7.6,3.0,14.881684700000001,10.0775303
59,7.6,2.0,13.0435672,10.1887071
60,7.6,6.0,15.3122906,9.3540731
61,8.0,5.0,11.145534,7.2928724
62,8.0,4.0,11.2429085,8.0364128
63,8.0,3.0,14.408944,10.1061235
64,8.0,2.0,12.6856651,10.2527487
65,8.0,6.0,14.8462755,9.4192066
66,8.4,5.0,11.761448099999999,7.3231403
67,8.4,4.0,11.9898633,7.969645399999999
68,8.4,3.0,14.024740099999999,10.2542772
69,8.4,2.0,12.461300399999999,10.3089526
70,8.4,6.0,14.282943,9.4065698
71,8.8,5.0,12.410838,7.3086558
72,8.8,4.0,12.6342211,7.9498104000000005
73,8.8,3.0,13.5853513,10.2815868
74,8.8,2.0,12.2437901,10.4927626
75,8.8,6.0,13.8014657,9.4311252
76,9.2,5.0,13.006704899999999,7.338305999999999
77,9.2,4.0,13.2254894,7.9742654
78,9.2,3.0,13.1879907,10.3483672
79,9.2,2.0,11.990241399999999,10.8503857
