,timestamp,id,x,y,z,vel_x,vel_z,vel_y
5,1.6,2,20.4637457,9.0531124,0.0,-2.3244442,0.0,-0.076605938
7,2.0,2,19.5339677,9.02247,0.0,-1.5890517,0.0,-0.065971055
9,2.4,2,19.1925037,9.0003356,0.0,-1.1407656,0.0,0.10537256
10,2.8,2,18.6213557,9.1067681,0.0,-1.6400209,0.0,0.17923528
11,3.2,2,17.8804877,9.1437238,0.0,-1.4061292,0.0,0.41904965
12,3.6,3,19.7168717,9.9389428,0.0,-0.83589222,0.0,0.24553459
13,3.6,2,17.4964517,9.4420078,0.0,-1.0787423,0.0,0.45518986
14,4.0,3,19.3825147,10.0371566,0.0,-1.0282507,0.0,0.30748215
15,4.0,2,17.0174935,9.5078757,0.0,-1.207725,0.0,0.11543663
16,4.4,5,5.5600851,7.6500164,0.0,1.5102614,0.0,0.19670494
17,4.4,4,5.7347873,8.3964805,0.0,1.4810487,0.0,-0.049765503
18,4.4,3,18.8942717,10.1849285,0.0,-1.3881064,0.0,0.039546695
19,4.4,2,16.5302719,9.5343571,0.0,-1.2731811,0.0,0.17084078
20,4.4,6,19.6090747,9.0187656,0.0,-1.2204814,0.0,0.25520515
21,4.8,5,6.1641897,7.728698400000001,0.0,1.4893305,0.0,0.079483761
22,4.8,4,6.3272067,8.3765743,0.0,1.4705667,0.0,-0.049413292
23,4.8,3,18.2720297,10.068794,0.0,-1.3174015,0.0,-0.16038692
24,4.8,2,15.998948599999999,9.6445483,0.0,-1.2327335,0.0,0.2715015
25,4.8,6,19.1208827,9.1208477,0.0,-1.3273119,0.0,0.21290704
26,5.2,5,6.75154957,7.7136034,0.0,1.5046428,0.0,-0.26913293
27,5.2,4,6.91124062,8.3569499,0.0,1.5101356,0.0,-0.10801706
28,5.2,3,17.8403507,10.056619,0.0,-1.2311392,0.0,0.077889026
29,5.2,2,15.5440851,9.7515583,0.0,-1.1467297,0.0,0.21789191
30,5.2,6,18.5472257,9.1890912,0.0,-1.4500126,0.0,0.073139953
31,5.6,5,7.367903942,7.513392,0.0,1.6124895,0.0,-0.26999919
32,5.6,4,7.53531524,8.2901607,0.0,1.6169232,0.0,-0.11113374
33,5.6,3,17.2871186,10.1311052,0.0,-1.2970989,0.0,0.081340731
34,5.6,2,15.0815649,9.8188618,0.0,-1.1634956,0.0,0.16930578
35,5.6,6,17.9608727,9.1793596,0.0,-1.3785628,0.0,-0.029516799
36,6.0,5,8.04154116,7.497604000000001,0.0,1.602723,0.0,-0.094307912
37,6.0,4,8.20477916,8.2680429,0.0,1.5928686,0.0,-0.10901602
38,6.0,3,16.8026712,10.1216916,0.0,-1.1194272,0.0,-0.080308213
39,6.0,2,14.6132886,9.887003,0.0,-1.1264929,0.0,0.11639996
40,6.0,6,17.4443751,9.1654778,0.0,-1.3445754,0.0,0.11811796
41,6.4,5,8.6500824,7.4379457,0.0,1.5101686,0.0,-0.14804942
42,6.4,4,8.8096101,8.2029478,0.0,1.5010067,0.0,-0.16154612
43,6.4,3,16.3915768,10.0668586,0.0,-1.1819848,0.0,0.023373784
44,6.4,2,14.180370499999999,9.9119818,0.0,-1.0305888,0.0,0.11175418
45,6.4,6,16.885212,9.273854,0.0,-1.3620495,0.0,0.16928816
46,6.8,5,9.2496761,7.3791645,0.0,1.5534479,0.0,-0.09140845
47,6.8,4,9.4055845,8.138806,0.0,1.5440951,0.0,-0.10567795
48,6.8,3,15.8570833,10.1403906,0.0,-1.245936,0.0,0.076746138
49,6.8,2,13.7888176,9.9764063,0.0,-0.92838126,0.0,0.1586235
50,6.8,6,16.3547355,9.3009083,0.0,-1.286463,0.0,0.014594006
51,7.2,5,9.8928407,7.3648188999999995,0.0,1.6515158,0.0,-0.092250329
52,7.2,4,10.0448862,8.1184055,0.0,1.5816946,0.0,-0.10557989
53,7.2,3,15.394828,10.1282556,0.0,-1.2192483,0.0,-0.078575408
54,7.2,2,13.4376655,10.0388806,0.0,-0.93156295,0.0,0.26537597
55,7.2,6,15.856041600000001,9.2855292,0.0,-1.3030561,0.0,0.066455923
56,7.6,5,10.5708887,7.3053642,0.0,1.5658666,0.0,-0.089933149
57,7.6,4,10.6709402,8.0543421,0.0,1.4975279,0.0,-0.10249089
58,7.6,3,14.881684700000001,10.0775303,0.0,-1.2323549,0.0,-0.027665016
59,7.6,2,13.0435672,10.1887071,0.0,-0.94000054,0.0,0.26733507
60,7.6,6,15.3122906,9.3540731,0.0,-1.2622076,0.0,0.1670968
61,8.0,5,11.145534,7.2928724,0.0,1.4881992,0.0,0.022220011
62,8.0,4,11.2429085,8.0364128,0.0,1.6486539,0.0,-0.10587078
63,8.0,3,14.408944,10.1061235,0.0,-1.0711806,0.0,0.22093364
64,8.0,2,12.6856651,10.2527487,0.0,-0.72783342,0.0,0.15030687
65,8.0,6,14.8462755,9.4192066,0.0,-1.2866845,0.0,0.065620968
66,8.4,5,11.761448099999999,7.3231403,0.0,1.5816301,0.0,0.019729264
67,8.4,4,11.9898633,7.969645399999999,0.0,1.7391407,0.0,-0.10825292
68,8.4,3,14.024740099999999,10.2542772,0.0,-1.029491,0.0,0.21932902
69,8.4,2,12.461300399999999,10.3089526,0.0,-0.55234379,0.0,0.30001738
70,8.4,6,14.282943,9.4065698,0.0,-1.3060122,0.0,0.014898196
71,8.8,5,12.410838,7.3086558,0.0,1.556571,0.0,0.018957137
72,8.8,4,12.6342211,7.9498104000000005,0.0,1.5445326,0.0,0.0057749343
73,8.8,3,13.5853513,10.2815868,0.0,-1.0459368,0.0,0.11761257
74,8.8,2,12.2437901,10.4927626,0.0,-0.58882379,0.0,0.67679139
75,8.8,6,13.8014657,9.4311252,0.0,-1.2083828,0.0,0.11440518
76,9.2,5,13.006704899999999,7.338305999999999,0.0,1.4748745,0.0,0.020366006
77,9.2,4,13.2254894,7.9742654,0.0,1.4635802,0.0,0.0078582009
78,9.2,3,13.1879907,10.3483672,0.0,-0.94217068,0.0,0.16424943
79,9.2,2,11.990241399999999,10.8503857,0.0,-0.43214143,0.0,0.45489329
80,9.2,6,13.316236799999999,9.498094,0.0,-1.230569,0.0,0.0096193656
81,9.6,5,13.5907377,7.324948600000001,0.0,1.503768,0.0,-0.034392475
82,9.6,4,13.8050852,7.956097,0.0,1.4924019,0.0,-0.04678187
83,9.6,3,12.8316147,10.4129863,0.0,-0.85148097,0.0,-0.05277212
84,9.6,2,11.8980769,10.8566772,0.0,-0.4291101,0.0,-0.34577969
85,9.6,6,12.8170105,9.4388207,0.0,-1.1422307,0.0,-0.15485223
86,10.0,5,14.2097193,7.310791999999999,0.0,1.5970782,0.0,0.12046948
87,10.0,4,14.419410899999999,7.936839900000001,0.0,1.7026138,0.0,0.30991853
88,10.0,3,12.5068059,10.3061495,0.0,-0.64067864,0.0,-0.22557352
89,10.0,2,11.6469533,10.5737619,0.0,-0.52900033,0.0,-0.071223762
90,10.0,6,12.4024523,9.3742122,0.0,-1.1511256,0.0,-0.049543226
92,10.4,5,14.8684002,7.421324200000001,0.0,1.5735006,0.0,0.17161658
93,10.4,4,15.1671763,8.2040318,0.0,1.677029,0.0,0.35922106
94,10.4,3,12.3190718,10.2325275,0.0,-0.57531967,0.0,-0.01798609
95,10.4,2,11.4748767,10.7996982,0.0,-0.36877375,0.0,0.61509837
96,10.4,6,11.89611,9.3991861,0.0,-1.3257917,0.0,0.17377314
98,10.8,5,15.4685198,7.4480851999999995,0.0,1.4880425,0.0,0.066356017
99,10.8,4,15.7610341,8.2242167,0.0,1.4725924,0.0,0.050052722
100,10.8,3,12.046550199999999,10.2917607,0.0,-0.5170592,0.0,0.031273835
