,frame_id,agent_id,pos_x,pos_z,pos_y,vel_x,vel_z,vel_y
0,780.0,1.0,8.4568443,0.0,3.5880664,1.6717144,0.0,0.17629183
1,786.0,1.0,9.1255301,0.0,3.6585832,1.6628772,0.0,0.32672255
2,792.0,1.0,9.787146,0.0,3.8494445,1.6833339,0.0,0.37108399
3,798.0,1.0,10.472197,0.0,3.9554504,1.5985677,0.0,0.26479471
4,804.0,1.0,11.066,0.0,4.0612803,1.5745265,0.0,0.45639045
5,804.0,2.0,13.017548,0.0,5.7825914,-2.3244442,0.0,-0.076605938
6,810.0,1.0,11.731818,0.0,4.3205627,1.644127,0.0,0.54439117
7,810.0,2.0,12.08777,0.0,5.751949,-1.5890517,0.0,-0.065971055
8,816.0,1.0,12.381302,0.0,4.4967932,1.6237086,0.0,0.44057614
9,816.0,2.0,11.746306,0.0,5.7298146,-1.1407656,0.0,0.10537256
10,822.0,2.0,11.175158,0.0,5.8362471,-1.6400209,0.0,0.17923528
11,828.0,2.0,10.43429,0.0,5.8732028,-1.4061292,0.0,0.41904965
12,834.0,3.0,12.270674,0.0,6.6684218,-0.83589222,0.0,0.24553459
13,834.0,2.0,10.050254,0.0,6.1714868,-1.0787423,0.0,0.45518986
14,840.0,3.0,11.936317,0.0,6.7666356,-1.0282507,0.0,0.30748215
15,840.0,2.0,9.5712958,0.0,6.2373547,-1.207725,0.0,0.11543663
16,846.0,5.0,-1.8861126,0.0,4.3794954,1.5102614,0.0,0.19670494
17,846.0,4.0,-1.7114104,0.0,5.1259595,1.4810487,0.0,-0.049765503
18,846.0,3.0,11.448074,0.0,6.9144075,-1.3881064,0.0,0.039546695
19,846.0,2.0,9.0840742,0.0,6.2638361,-1.2731811,0.0,0.17084078
20,846.0,6.0,12.162877,0.0,5.7482446,-1.2204814,0.0,0.25520515
21,852.0,5.0,-1.282008,0.0,4.4581774,1.4893305,0.0,0.079483761
22,852.0,4.0,-1.118991,0.0,5.1060533,1.4705667,0.0,-0.049413292
23,852.0,3.0,10.825832,0.0,6.798273,-1.3174015,0.0,-0.16038692
24,852.0,2.0,8.5527509,0.0,6.3740273,-1.2327335,0.0,0.2715015
25,852.0,6.0,11.674685,0.0,5.8503267,-1.3273119,0.0,0.21290704
26,858.0,5.0,-0.69464813,0.0,4.4430824,1.5046428,0.0,-0.26913293
27,858.0,4.0,-0.53495708,0.0,5.0864289,1.5101356,0.0,-0.10801706
28,858.0,3.0,10.394153,0.0,6.786098,-1.2311392,0.0,0.077889026
29,858.0,2.0,8.0978874,0.0,6.4810373,-1.1467297,0.0,0.21789191
30,858.0,6.0,11.101028,0.0,5.9185702,-1.4500126,0.0,0.073139953
31,864.0,5.0,-0.078293758,0.0,4.242871,1.6124895,0.0,-0.26999919
32,864.0,4.0,0.08911754,0.0,5.0196397,1.6169232,0.0,-0.11113374
33,864.0,3.0,9.8409209,0.0,6.8605842,-1.2970989,0.0,0.081340731
34,864.0,2.0,7.6353672,0.0,6.5483408,-1.1634956,0.0,0.16930578
35,864.0,6.0,10.514675,0.0,5.9088386,-1.3785628,0.0,-0.029516799
36,870.0,5.0,0.59534346,0.0,4.227083,1.602723,0.0,-0.094307912
37,870.0,4.0,0.75858146,0.0,4.9975219,1.5928686,0.0,-0.10901602
38,870.0,3.0,9.3564735,0.0,6.8511706,-1.1194272,0.0,-0.080308213
39,870.0,2.0,7.1670909,0.0,6.616482,-1.1264929,0.0,0.11639996
40,870.0,6.0,9.9981774,0.0,5.8949568,-1.3445754,0.0,0.11811796
